day;product;requested_qty_today;produced_qty;scrap_qty;good_qty;time_spent_producing_min;setup_spent_min;total_cost_eur
1;IS;100;100;3;97;200.0;0.0;140.0
1;IR;120;100;4;96;250.0;30.0;190.0
2;IS;224;224;6;218;448.0;30.0;328.6
3;IS;172;172;5;167;344.0;0.0;240.8
3;IR;385;42;1;41;105.0;30.0;88.5
4;IS;168;168;5;163;336.0;30.0;250.2
4;IR;585;33;1;32;82.5;30.0;72.75
5;IS;150;150;4;146;300.0;30.0;225.0
5;IR;702;48;1;47;120.0;30.0;99.0
6;IS;249;225;6;219;450.0;30.0;330.0
7;IS;159;159;4;155;318.0;0.0;222.6
7;IR;892;52;2;50;130.0;30.0;106.0
8;IS;233;225;6;219;450.0;30.0;330.0
9;IS;113;113;3;110;226.0;0.0;158.2
9;IR;967;89;3;86;222.5;30.0;170.75
10;IS;123;123;3;120;246.0;30.0;187.2
10;IR;1094;69;2;67;172.5;30.0;135.75
11;IS;184;184;5;179;368.0;30.0;272.6
11;IR;1130;20;0;20;50.0;30.0;50.0
12;IS;140;140;4;136;280.0;30.0;211.0
12;IR;1343;56;2;54;140.0;30.0;113.0
13;IS;105;105;3;102;210.0;30.0;162.0
13;IR;1413;84;3;81;210.0;30.0;162.0
14;IS;236;225;6;219;450.0;30.0;330.0
15;IS;225;225;6;219;450.0;0.0;315.0
16;IS;168;168;5;163;336.0;30.0;250.2
16;IR;1594;33;1;32;82.5;30.0;72.75
17;IS;211;211;6;205;422.0;30.0;310.4
18;IS;181;181;5;176;362.0;0.0;253.4
18;IR;1951;35;1;34;87.5;30.0;76.25
19;IS;224;224;6;218;448.0;30.0;328.6
20;IS;187;187;5;182;374.0;0.0;261.8
20;IR;2147;30;1;29;75.0;30.0;67.5
21;IS;123;123;3;120;246.0;30.0;187.2
21;IR;2297;69;2;67;172.5;30.0;135.75
22;IS;136;136;4;132;272.0;30.0;205.4
22;IR;2341;59;2;57;147.5;30.0;118.25
23;IS;233;225;6;219;450.0;30.0;330.0
24;IS;140;140;4;136;280.0;0.0;196.0
24;IR;2509;68;2;66;170.0;30.0;134.0
25;IS;204;204;6;198;408.0;30.0;300.6
25;IR;2643;4;0;4;10.0;30.0;22.0
26;IS;133;133;3;130;266.0;30.0;201.2
26;IR;2824;61;2;59;152.5;30.0;121.75
27;IS;115;115;3;112;230.0;30.0;176.0
27;IR;2970;76;3;73;190.0;30.0;148.0
28;IS;120;120;3;117;240.0;30.0;183.0
28;IR;3083;72;2;70;180.0;30.0;141.0
29;IS;116;116;3;113;232.0;30.0;177.4
29;IR;3111;75;3;72;187.5;30.0;146.25
30;IS;219;219;6;213;438.0;30.0;321.6
