day;product;requested_qty_today;produced_qty;scrap_qty;good_qty;time_spent_producing_min;setup_spent_min;total_cost_eur
1;IS;70;70;2;68;140.0;0.0;98.0
1;IR;102;102;4;98;255.0;60.0;193.5
2;IS;115;115;3;112;230.0;60.0;176.0
2;IR;134;52;2;50;130.0;60.0;106.0
3;IS;87;87;2;85;174.0;60.0;136.8
3;IR;155;74;2;72;185.0;60.0;144.5
4;IS;90;90;2;88;180.0;60.0;141.0
4;IR;155;72;2;70;180.0;60.0;141.0
5;IS;99;99;2;97;198.0;60.0;153.6
5;IR;181;64;2;62;160.0;60.0;127.0
6;IS;148;148;4;144;296.0;60.0;222.2
6;IR;217;25;1;24;62.5;60.0;58.75
7;IS;66;66;1;65;132.0;60.0;107.4
7;IR;250;91;3;88;227.5;60.0;174.25
8;IS;89;89;2;87;178.0;60.0;139.6
8;IR;302;72;2;70;180.0;60.0;141.0
9;IS;122;122;3;119;244.0;60.0;185.8
9;IR;371;46;1;45;115.0;60.0;95.5
10;IS;113;113;3;110;226.0;60.0;173.2
10;IR;470;53;2;51;132.5;60.0;107.75
11;IS;51;51;1;50;102.0;60.0;86.4
11;IR;514;103;4;99;257.5;60.0;195.25
12;IS;91;91;2;89;182.0;60.0;142.4
12;IR;474;71;2;69;177.5;60.0;139.25
13;IS;141;141;4;137;282.0;60.0;212.4
13;IR;510;31;1;30;77.5;60.0;69.25
14;IS;118;118;3;115;236.0;60.0;180.2
14;IR;573;49;1;48;122.5;60.0;100.75
15;IS;138;138;4;134;276.0;60.0;208.2
15;IR;634;33;1;32;82.5;60.0;72.75
16;IS;112;112;3;109;224.0;60.0;171.8
16;IR;658;54;2;52;135.0;60.0;109.5
17;IS;98;98;2;96;196.0;60.0;152.2
17;IR;753;65;2;63;162.5;60.0;128.75
18;IS;104;104;3;101;208.0;60.0;160.6
18;IR;832;60;2;58;150.0;60.0;120.0
19;IS;84;84;2;82;168.0;60.0;132.6
19;IR;892;76;3;73;190.0;60.0;148.0
20;IS;55;55;1;54;110.0;60.0;92.0
20;IR;961;100;4;96;250.0;60.0;190.0
21;IS;133;133;3;130;266.0;60.0;201.2
21;IR;941;37;1;36;92.5;60.0;79.75
22;IS;57;57;1;56;114.0;60.0;94.8
22;IR;998;98;3;95;245.0;60.0;186.5
23;IS;106;106;3;103;212.0;60.0;163.4
23;IR;1016;59;2;57;147.5;60.0;118.25
24;IS;61;61;1;60;122.0;60.0;100.4
24;IR;1103;95;3;92;237.5;60.0;181.25
25;IS;57;57;1;56;114.0;60.0;94.8
25;IR;1113;98;3;95;245.0;60.0;186.5
26;IS;66;66;1;65;132.0;60.0;107.4
26;IR;1072;91;3;88;227.5;60.0;174.25
27;IS;127;127;3;124;254.0;60.0;192.8
27;IR;1087;42;1;41;105.0;60.0;88.5
28;IS;127;127;3;124;254.0;60.0;192.8
28;IR;1185;42;1;41;105.0;60.0;88.5
29;IS;86;86;2;84;172.0;60.0;135.4
29;IR;1222;75;3;72;187.5;60.0;146.25
30;IS;145;145;4;141;290.0;60.0;218.0
30;IR;1268;28;1;27;70.0;60.0;64.0
