day;product;requested_qty_today;produced_qty;scrap_qty;good_qty;time_spent_producing_min;setup_spent_min;total_cost_eur
1;IS;92;92;2;90;184.0;0.0;128.8
1;IR;50;50;2;48;125.0;30.0;102.5
1;IAP;75;33;1;32;110.0;30.0;85.4
2;IS;123;123;3;120;246.0;30.0;187.2
2;IR;57;57;2;55;142.5;30.0;114.75
3;IS;131;131;3;128;262.0;30.0;198.4
3;IR;76;63;2;61;157.5;30.0;125.25
4;IS;102;102;3;99;204.0;30.0;157.8
4;IR;102;86;3;83;215.0;30.0;165.5
5;IS;64;64;1;63;128.0;30.0;104.6
5;IR;160;116;4;112;290.0;30.0;218.0
6;IS;61;61;1;60;122.0;30.0;100.4
6;IR;139;119;4;115;297.5;30.0;223.25
7;IS;111;111;3;108;222.0;30.0;170.4
7;IR;86;79;3;76;197.5;30.0;153.25
8;IS;68;68;2;66;136.0;30.0;110.2
8;IR;130;113;4;109;282.5;30.0;212.75
9;IS;106;106;3;103;212.0;30.0;163.4
9;IR;142;83;3;80;207.5;30.0;160.25
10;IS;142;142;4;138;284.0;30.0;213.8
10;IR;183;54;2;52;135.0;30.0;109.5
11;IS;65;65;1;64;130.0;30.0;106.0
11;IR;217;116;4;112;290.0;30.0;218.0
12;IS;116;116;3;113;232.0;30.0;177.4
12;IR;216;75;3;72;187.5;30.0;146.25
13;IS;133;133;3;130;266.0;30.0;201.2
13;IR;284;61;2;59;152.5;30.0;121.75
14;IS;116;116;3;113;232.0;30.0;177.4
14;IR;316;75;3;72;187.5;30.0;146.25
15;IS;93;93;2;91;186.0;30.0;145.2
15;IR;329;93;3;90;232.5;30.0;177.75
16;IS;53;53;1;52;106.0;30.0;89.2
16;IR;319;125;5;120;312.5;30.0;233.75
17;IS;135;135;4;131;270.0;30.0;204.0
17;IR;268;60;2;58;150.0;30.0;120.0
18;IS;58;58;1;57;116.0;30.0;96.2
18;IR;339;121;4;117;302.5;30.0;226.75
19;IS;113;113;3;110;226.0;30.0;173.2
19;IR;341;77;3;74;192.5;30.0;149.75
20;IS;113;113;3;110;226.0;30.0;173.2
20;IR;336;77;3;74;192.5;30.0;149.75
21;IS;96;96;2;94;192.0;30.0;149.4
21;IR;334;91;3;88;227.5;30.0;174.25
22;IS;105;105;3;102;210.0;30.0;162.0
22;IR;296;84;3;81;210.0;30.0;162.0
23;IS;91;91;2;89;182.0;30.0;142.4
23;IR;285;95;3;92;237.5;30.0;181.25
24;IS;68;68;2;66;136.0;30.0;110.2
24;IR;329;113;4;109;282.5;30.0;212.75
25;IS;116;116;3;113;232.0;30.0;177.4
25;IR;346;75;3;72;187.5;30.0;146.25
26;IS;138;138;4;134;276.0;30.0;208.2
26;IR;419;57;2;55;142.5;30.0;114.75
27;IS;125;125;3;122;250.0;30.0;190.0
27;IR;509;68;2;66;170.0;30.0;134.0
28;IS;119;119;3;116;238.0;30.0;181.6
28;IR;574;72;2;70;180.0;30.0;141.0
29;IS;143;143;4;139;286.0;30.0;215.2
29;IR;597;53;2;51;132.5;30.0;107.75
30;IS;124;124;3;121;248.0;30.0;188.6
30;IR;685;68;2;66;170.0;30.0;134.0
