day;product;requested_qty_today;produced_qty;scrap_qty;good_qty;time_spent_producing_min;setup_spent_min;total_cost_eur
1;IS;71;71;2;69;142.0;0.0;99.4
1;IR;146;75;3;72;187.5;30.0;146.25
2;IS;137;137;4;133;274.0;30.0;206.8
2;IR;204;10;0;10;25.0;30.0;32.5
3;IS;97;97;2;95;194.0;30.0;150.8
3;IR;308;42;1;41;105.0;30.0;88.5
4;IS;70;70;2;68;140.0;30.0;113.0
4;IR;374;64;2;62;160.0;30.0;127.0
5;IS;58;58;1;57;116.0;30.0;96.2
5;IR;361;73;2;71;182.5;30.0;142.75
6;IS;91;91;2;89;182.0;30.0;142.4
6;IR;364;47;1;46;117.5;30.0;97.25
7;IS;78;78;2;76;156.0;30.0;124.2
7;IR;384;57;2;55;142.5;30.0;114.75
8;IS;118;118;3;115;236.0;30.0;180.2
8;IR;415;25;1;24;62.5;30.0;58.75
9;IS;149;149;4;145;298.0;30.0;223.6
10;IS;115;115;3;112;230.0;30.0;176.0
10;IR;619;28;1;27;70.0;30.0;64.0
11;IS;87;87;2;85;174.0;30.0;136.8
11;IR;651;50;2;48;125.0;30.0;102.5
12;IS;131;131;3;128;262.0;30.0;198.4
12;IR;742;15;0;15;37.5;30.0;41.25
13;IS;56;56;1;55;112.0;30.0;93.4
13;IR;802;75;3;72;187.5;30.0;146.25
14;IS;95;95;2;93;190.0;30.0;148.0
14;IR;862;44;1;43;110.0;30.0;92.0
15;IS;106;106;3;103;212.0;30.0;163.4
15;IR;958;35;1;34;87.5;30.0;76.25
16;IS;71;71;2;69;142.0;30.0;114.4
16;IR;1014;63;2;61;157.5;30.0;125.25
17;IS;71;71;2;69;142.0;30.0;114.4
17;IR;1008;63;2;61;157.5;30.0;125.25
18;IS;77;77;2;75;154.0;30.0;122.8
18;IR;1056;58;2;56;145.0;30.0;116.5
19;IS;114;114;3;111;228.0;30.0;174.6
19;IR;1119;28;1;27;70.0;30.0;64.0
20;IS;149;149;4;145;298.0;30.0;223.6
21;IS;66;66;1;65;132.0;30.0;107.4
21;IR;1224;67;2;65;167.5;30.0;132.25
22;IS;60;60;1;59;120.0;30.0;99.0
22;IR;1218;72;2;70;180.0;30.0;141.0
23;IS;85;85;2;83;170.0;30.0;134.0
23;IR;1267;52;2;50;130.0;30.0;106.0
24;IS;119;119;3;116;238.0;30.0;181.6
24;IR;1339;24;0;24;60.0;30.0;57.0
25;IS;112;112;3;109;224.0;30.0;171.8
25;IR;1422;30;1;29;75.0;30.0;67.5
26;IS;134;134;4;130;268.0;30.0;202.6
26;IR;1510;12;0;12;30.0;30.0;36.0
27;IS;64;64;1;63;128.0;30.0;104.6
27;IR;1617;68;2;66;170.0;30.0;134.0
28;IS;142;142;4;138;284.0;30.0;213.8
28;IR;1652;6;0;6;15.0;30.0;25.5
29;IS;72;72;2;70;144.0;30.0;115.8
29;IR;1777;62;2;60;155.0;30.0;123.5
30;IS;63;63;1;62;126.0;30.0;103.2
30;IR;1865;69;2;67;172.5;30.0;135.75
